compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
32986-56-4,furin,0.0093,0.41040000000000004,0.7726999999999999,0.5247,0.390959653502336,0.9044,0.3818642996318631,0.3622999999999999,-0.7634
179324-69-7,furin,0.09905,0.89425,0.68085,0.6550166666666667,0.37297989624107086,0.8603,0.4115770158791669,-0.21340000000000003,-0.5818
2030-63-9,furin,0.33845,0.5668500000000001,0.68065,0.5856833333333333,0.2032189041403383,0.6135,0.17426887272258348,0.1137999999999999,-0.3422
155213-67-5,furin,0.6371,0.52445,0.7119500000000001,0.6369750000000001,0.24103742448010018,0.6266,0.094382903642556,0.1875000000000001,-0.07485000000000008
163222-33-1,furin,0.4027,0.9601999999999999,0.9956499999999999,0.8850083333333334,0.3030077716275057,0.6840999999999999,0.3325789768360792,0.03544999999999998,-0.5929499999999999
132539-06-1,furin,0.2496,0.8096,0.0405,0.33171666666666666,0.3656151565056715,0.8368,0.39766770466475315,-0.7691,0.20909999999999998
32672-69-8,furin,0.36255000000000004,0.71845,0.7377499999999999,0.6687833333333333,0.2590724435365521,0.6771999999999999,0.21127089245800043,0.019299999999999873,-0.37519999999999987
229975-97-7,furin,0.35885,0.8557,0.90385,0.7969666666666667,0.2767529993815183,0.6551,0.3017182308600747,0.048150000000000026,-0.545
79559-97-0,furin,0.69895,0.81355,0.7696000000000001,0.772475,0.1400633856509259,0.36730000000000007,0.05781606610623039,-0.043949999999999934,-0.0706500000000001
274693-27-5,furin,0.65795,0.7678499999999999,0.161,0.44610833333333333,0.3122956206331857,0.6939,0.32334301574849783,-0.6068499999999999,0.49695
65277-42-1,furin,0.72985,0.8624,0.5588,0.6885083333333334,0.16088460978809213,0.4666,0.15220631009696461,-0.3036000000000001,0.17105000000000004
65473-14-5,furin,0.7826,0.4189,0.45845,0.4992916666666667,0.27796811627714907,0.655,0.19954745258542722,0.03955000000000003,0.32414999999999994
175865-59-5,furin,0.33290000000000003,0.92845,0.44545,0.5876916666666666,0.3174529424444931,0.825,0.31639540267414334,-0.483,-0.11254999999999998
148849-67-6,furin,0.1901,0.98535,0.9238999999999999,0.8220833333333334,0.39717625516471483,0.8514999999999999,0.4424667793556182,-0.061450000000000005,-0.7338
192725-17-0,furin,0.38995,0.46275,0.6072,0.5228416666666666,0.24432581252636135,0.6979,0.11057667400194911,0.14444999999999997,-0.21724999999999994
63-45-6,furin,0.7011000000000001,0.87395,0.7908,0.8035666666666668,0.15300624061346862,0.40059999999999996,0.08644568140360355,-0.08315000000000006,-0.08969999999999989
443913-73-3,furin,0.5648,0.5313,0.5257000000000001,0.5340833333333334,0.18402925854330882,0.45860000000000006,0.021144029890255038,-0.005599999999999938,0.03909999999999991
61-76-7,furin,0.2596,0.6806,0.1933,0.3667833333333333,0.24920220437762317,0.6248,0.264290868804303,-0.48729999999999996,0.0663
440-17-5,furin,0.33094999999999997,0.49015,0.2375,0.3372916666666667,0.20685572427821924,0.517,0.12774294827243235,-0.25265,0.09344999999999998
184475-35-2,furin,0.6201,0.9469,0.8081499999999999,0.8230583333333333,0.2430313182836045,0.6249,0.164018599046978,-0.13875000000000004,-0.18804999999999994
23256-50-0,furin,0.90535,0.1557,0.25145,0.3285166666666667,0.3722028694139797,0.8315,0.4079886426115315,0.09575,0.6538999999999999
58-27-5,furin,0.5748500000000001,0.8198,0.8151999999999999,0.776675,0.24305389045778852,0.6697,0.1401129217214933,-0.0046000000000000485,-0.24034999999999984
183320-51-6,furin,0.76395,0.20120000000000002,0.1124,0.25059166666666666,0.3476851300626282,0.9237000000000001,0.3533389319524999,-0.08880000000000002,0.6515500000000001
53716-49-7,furin,0.21195,0.7605500000000001,0.2791,0.4283916666666667,0.30626506820073357,0.7766,0.2992393648903834,-0.48145000000000004,-0.06715000000000002
54527-84-3,furin,0.361,0.5755,0.21995,0.36197499999999994,0.23416959167805426,0.5516,0.17903498494242218,-0.35555000000000003,0.14104999999999998
298-81-7,furin,0.21034999999999998,0.45230000000000004,0.34824999999999995,0.35995,0.20473511341894107,0.5379,0.12136900688945815,-0.10405000000000009,-0.13789999999999997
51-30-9,furin,0.2947,0.92875,0.77825,0.7478249999999999,0.32759706144388206,0.9011,0.33128292414993765,-0.15049999999999997,-0.48355
