compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
105816-04-4,pa_h5n1,0.26405,0.89825,0.96585,0.82635,0.3485649403865321,0.764,0.3871482575620525,0.0676,-0.7018
106266-06-2,pa_h5n1,0.27795000000000003,0.95595,0.90435,0.8171499999999999,0.35281198817500514,0.84,0.37743068237757244,-0.05159999999999998,-0.6264
106308-44-5,pa_h5n1,0.58765,0.92145,0.3033,0.5567416666666667,0.2946502107018874,0.6562000000000001,0.3094044777202381,-0.61815,0.28435
106685-40-9,pa_h5n1,0.46875,0.29535,0.5034000000000001,0.42827499999999996,0.17827638093701587,0.5184,0.11146971561818934,0.20805000000000007,-0.03465000000000007
1069-66-5,pa_h5n1,0.5818,0.7797000000000001,0.81385,0.7637916666666666,0.18975867217776018,0.5269999999999999,0.12528489866433756,0.0341499999999999,-0.23204999999999998
107-35-7,pa_h5n1,0.55695,0.7329,0.9028499999999999,0.7885499999999999,0.33012162607136175,0.8649,0.17295867280943156,0.16994999999999993,-0.3459
1070-11-7,pa_h5n1,0.09165000000000001,0.9079,0.45115000000000005,0.5434833333333333,0.3853689695170937,0.8919,0.4090894105612285,-0.45675,-0.35950000000000004
107133-36-8,pa_h5n1,0.62085,0.9774,0.59055,0.7245499999999999,0.31410585476873876,0.6977,0.2151351958652977,-0.38685,0.030299999999999994
107724-20-9,pa_h5n1,0.4638,0.5432,0.70065,0.6086916666666666,0.1618986895149762,0.3826,0.12054928798351873,0.15744999999999998,-0.23685
108341-18-0,pa_h5n1,0.6205,0.2193,0.19695000000000001,0.2749916666666667,0.25533900929287456,0.7118,0.2383469337611318,-0.02234999999999998,0.42355000000000004
1104-22-9,pa_h5n1,0.14105,0.4697,0.06409999999999999,0.212125,0.20028965774597549,0.5117,0.215423414465559,-0.4056,0.07695000000000002
111025-46-8,pa_h5n1,0.62185,0.6294500000000001,0.7900499999999999,0.7084833333333332,0.24353613900199697,0.6312,0.09499242075028927,0.16059999999999985,-0.1681999999999999
111406-87-2,pa_h5n1,0.20229999999999998,0.36065,0.34945,0.32865833333333333,0.1975243546165046,0.505,0.08836787217837337,-0.011200000000000043,-0.14715
1115-70-4,pa_h5n1,0.0097,0.05985,0.1008,0.07196666666666666,0.05186052127260838,0.1064,0.045627358386535304,0.04095,-0.0911
111974-72-2,pa_h5n1,0.65225,0.58875,0.5288999999999999,0.5694083333333333,0.1316916499504303,0.3481,0.0616839998162679,-0.05985000000000007,0.12335000000000007
112529-15-4,pa_h5n1,0.44155,0.731,0.99195,0.8132333333333333,0.28583025032350934,0.7006,0.2753229512772228,0.26095,-0.5504
112809-51-5,pa_h5n1,0.25615,0.7188000000000001,0.72705,0.6458166666666668,0.24528757544292104,0.5634,0.2695242397880631,0.008249999999999869,-0.4709
112885-42-4,pa_h5n1,0.5503,0.7635000000000001,0.5299499999999999,0.6111916666666667,0.18089869448579962,0.4467,0.1293663821606423,-0.23355000000000015,0.02035000000000009
113-59-7,pa_h5n1,0.7503,0.95565,0.9702999999999999,0.9287500000000001,0.19285832537556333,0.49739999999999995,0.1230062633906637,0.01464999999999994,-0.21999999999999997
113-92-8,pa_h5n1,0.138,0.026549999999999997,0.7818,0.42274999999999996,0.3753389121847081,0.8262,0.4076972130147568,0.7552500000000001,-0.6438
113852-37-2,pa_h5n1,0.00855,0.8885000000000001,0.3456,0.4703916666666667,0.40864177670261104,0.9262,0.44396980283948745,-0.5429,-0.33705
115256-11-6,pa_h5n1,0.6463000000000001,0.55165,0.3903,0.48674999999999996,0.18965772767453132,0.5043000000000001,0.12944010519670224,-0.16135,0.2560000000000001
1156-19-0,pa_h5n1,0.5933,0.87365,0.1243,0.45225,0.3438516564838196,0.7758,0.37861205848907314,-0.7493500000000001,0.4690000000000001
117-37-3,pa_h5n1,0.12459999999999999,0.4901,0.6176,0.4929333333333334,0.25985068533037714,0.7115,0.2558956493052067,0.12750000000000006,-0.49300000000000005
118072-93-8,pa_h5n1,0.38425,0.55145,0.25405,0.3748833333333333,0.18963927247979695,0.5688,0.14908310881294815,-0.2974,0.13019999999999998
119413-54-6,pa_h5n1,0.71465,0.45575,0.86365,0.7028499999999999,0.20806567633001527,0.6182000000000001,0.2064027696842592,0.40790000000000004,-0.14900000000000002
1195765-45-7,pa_h5n1,0.6367,0.9742,0.29295,0.577325,0.3329729083073677,0.6950000000000001,0.3406297782539473,-0.6812499999999999,0.34375000000000006
120-97-8,pa_h5n1,0.46895,0.6288,0.771,0.6732583333333334,0.16995455176801436,0.4243,0.15111092228337877,0.1422,-0.30205000000000004
120011-70-3,pa_h5n1,0.8511,0.0509,0.67215,0.49489166666666656,0.4015405703869369,0.8863,0.4199791076152876,0.6212500000000001,0.17894999999999994
