compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
19387-91-8,247.062676896,0.5344200000000001,95.1,0,5,0,5,1,1,16,0.625,2,0.5584635043283493
26159-34-2,229.08701785591,1.7018,49.36,0,3,-1,3,2,2,17,0.21428571428571427,0,0.8044886100489643
19171-19-8,273.074955832,-0.3299999999999998,109.57,2,5,0,1,3,1,20,0.23076923076923078,2,0.5375391722332333
34552-83-5,477.23033242809,3.670900000000004,44.980000000000004,2,2,1,7,4,3,34,0.3448275862068966,0,0.5450497541894281
103177-37-3,480.16772776390997,4.256200000000003,121.31,1,7,-1,9,5,5,36,0.14814814814814814,1,0.31076823177196433
60-56-0,114.02516919199999,1.08269,20.72,1,1,0,0,1,1,7,0.25,1,0.5004564356679512
52-01-7,416.2021305039999,4.852300000000005,60.44,0,5,0,1,5,0,29,0.7916666666666666,1,0.5718459844204299
67-48-1,104.10699048808999,-0.3150999999999999,20.23,1,1,1,2,0,0,7,1.0,1,0.47618393148924254
55-06-1,649.7827754119099,1.2691999999999999,100.06,1,4,-1,5,2,2,23,0.13333333333333333,1,0.49368698345338624
23964-57-0,285.12673995209,1.1435199999999999,72.01,2,4,1,6,1,1,19,0.5384615384615384,1,0.7700234013623286
19767-45-4,140.96855959991,-0.5385999999999997,57.2,1,4,-1,2,0,0,7,1.0,2,0.41487401500285953
7681-93-8,664.2974641119099,-1.2149999999999952,233.81999999999996,6,14,-1,3,4,0,47,0.6363636363636364,2,0.15347219982471577
51333-22-3,430.2355388079999,2.7168000000000014,93.06,2,6,0,4,5,0,31,0.76,0,0.7124527920741569
78110-38-0,433.03730159982007,-2.8497999999999974,207.23999999999998,2,12,-2,7,2,1,28,0.46153846153846156,4,0.19453315242965535
1156-19-0,310.12308607990997,2.558020000000001,80.58,1,4,-1,3,2,1,21,0.5,0,0.9300469389911951
83-43-2,374.20932406,1.8036,94.83000000000001,3,5,0,2,4,0,27,0.7272727272727273,0,0.685142538776804
55-98-1,246.023180168,-0.2809999999999997,86.74000000000001,0,6,0,7,0,0,14,1.0,2,0.453312740145793
127-69-5,266.06048582391,2.26774,100.29,1,5,-1,3,2,2,18,0.18181818181818182,1,0.8586254128001697
88889-14-9,562.2939129899099,4.786600000000004,113.03999999999999,0,7,-1,14,3,1,39,0.7,4,0.1387021303980434
138402-11-6,427.2251830639101,4.406500000000003,85.44,0,5,-1,7,5,3,32,0.4,0,0.5575984027515636
159351-69-6,957.581356336,6.197200000000008,204.65999999999994,3,14,0,9,4,0,68,0.7547169811320755,3,0.13392386914137677
57-83-0,314.2245802,4.723500000000005,34.14,0,2,0,1,4,0,23,0.8095238095238095,0,0.7013194281770768
55079-83-9,325.18091823991006,3.832360000000003,49.36,0,3,-1,6,1,1,24,0.2857142857142857,2,0.5897491967203508
5451-09-2,131.058243148,-2.6724999999999994,84.84,1,3,0,4,0,0,9,0.6,0,0.45111275247950855
