compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
3978-86-7,291.18557515609,2.2906000000000004,17.330000000000002,1,1,1,0,4,2,22,0.35,0,0.7880827553411278
405165-61-9,393.125547432,1.0931999999999988,93.01000000000002,1,5,0,3,4,2,27,0.47368421052631576,0,0.8443878491133551
41340-25-4,286.14486707991,2.0483000000000002,65.15,1,3,-1,4,3,2,21,0.47058823529411764,0,0.9351580449389799
42057-22-7,538.1071783079099,-1.5684999999999958,176.32999999999998,2,9,-1,6,4,1,36,0.47619047619047616,1,0.40527992121041545
42461-84-7,295.06998579991,2.5159200000000004,65.05,1,4,-1,3,2,2,21,0.14285714285714285,0,0.9446204433866343
42924-53-8,228.115029752,3.370000000000002,26.3,0,2,0,4,2,2,17,0.26666666666666666,0,0.8015823313615688
4342-03-4,182.09160894,0.0688999999999999,99.72999999999999,2,4,0,3,1,1,13,0.3333333333333333,2,0.5105305434356862
440-17-5,408.17157988009,3.528500000000002,10.920000000000002,1,3,1,4,4,2,28,0.42857142857142855,0,0.8307344936157748
444731-52-6,437.16339397600007,3.1390400000000005,119.03,2,8,0,5,4,4,31,0.19047619047619047,0,0.4921501033338167
446-86-6,277.038193464,1.1457999999999997,115.41999999999999,1,8,0,3,3,3,19,0.1111111111111111,3,0.43328794180573177
452-35-7,258.01328418,1.3424,82.28,1,5,0,3,2,2,16,0.2222222222222222,0,0.9002834195387214
475207-59-1,464.086302712,5.549700000000003,92.35000000000001,3,4,0,5,3,3,32,0.09523809523809523,0,0.4613395020059931
50-01-1,60.05562361208999,-2.9811000000000005,77.63,3,0,1,0,0,0,4,0.0,2,0.2059078383213915
50-02-2,392.19990224799994,1.8957000000000002,94.83,3,5,0,2,4,0,28,0.7272727272727273,0,0.667213496992105
50-04-4,402.20423868,2.560600000000001,97.74000000000001,1,6,0,3,4,0,29,0.7391304347826086,1,0.7288385619310164
50-27-1,288.17254462799997,2.5800000000000005,60.69,3,3,0,0,4,1,21,0.6666666666666666,0,0.687428138033629
50-28-2,272.177630008,3.6092000000000026,40.46,2,2,0,0,4,1,20,0.6666666666666666,0,0.757169743555686
50-35-1,258.0640568,0.08779999999999993,83.55000000000001,1,4,0,1,3,1,19,0.23076923076923078,1,0.7233587999857974
50-41-9,406.19321864809,5.1455000000000055,13.670000000000002,1,1,1,9,3,3,29,0.23076923076923078,1,0.4852290935528005
50-55-5,608.27338086,4.171100000000004,117.78000000000003,1,10,0,8,6,3,44,0.5151515151515151,1,0.3735666920618681
50-63-5,321.19607841617994,2.8125999999999998,30.61,2,1,2,8,2,2,22,0.5,0,0.7692912634314394
