compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
242478-38-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4144,0.773,0.4079,0.3575,0.999,0.8098
2447-57-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6795,0.8462,0.0103,0.0649,0.0201,0.5158
24729-96-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7603,0.849,0.999,0.999,0.8841,0.8917
25451-15-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5163,0.2931,0.794,0.5895,0.8064,0.652
2627-69-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1575,0.5832,0.0171,0.0065,0.1653,0.0037
26807-65-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,0.3325,0.8166,0.6037,0.4513,0.5788
269055-15-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4362,0.822,0.9287,0.999,0.764,0.5033
274693-27-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.698,0.5609,0.7671,0.8831,0.7712,0.0416
27833-64-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7371,0.5219,0.862,0.9239,0.163,0.1462
2809-21-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5558,0.7596,0.863,0.9029,0.9714,0.8469
28657-80-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7404,0.6458,0.3678,0.1341,0.0707,0.0037
286930-03-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7608,0.876,0.0814,0.1684,0.0272,0.3414
297-76-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0996,0.6302,0.4224,0.1593,0.3549
302-79-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0654,0.014,0.4521,0.4417,0.1928,0.0443
302962-49-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5552,0.4908,0.7655,0.5474,0.8033,0.7737
304-20-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6538,0.9622,0.9928,0.9656,0.6371,0.5366
