compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
15307-81-0,pa_h3n2,1,0,0.2593,0.5601,0.074,0.3546,0.1351,0.1596,0.0,0.0,0.0,0.0,0.0,0.0
153559-49-0,pa_h3n2,1,0,0.5682,0.6112,0.1015,0.1611,0.6777,0.6919,0.0,0.0,0.0,0.0,0.0,0.0
154229-19-3,pa_h3n2,1,0,0.5365,0.2481,0.2755,0.4594,0.9176,0.8608,0.0,0.0,0.0,0.0,0.0,0.0
154361-50-9,pa_h3n2,1,0,0.9963,0.9559,0.9864,0.9244,0.9205,0.7966,0.0,0.0,0.0,0.0,0.0,0.0
155206-00-1,pa_h3n2,1,0,0.7377,0.8771,0.5061,0.5102,0.9279,0.4156,0.0,0.0,0.0,0.0,0.0,0.0
155213-67-5,pa_h3n2,1,0,0.3477,0.6147,0.9302,0.776,0.0362,0.2807,0.0,0.0,0.0,0.0,0.0,0.0
156-57-0,pa_h3n2,1,0,0.7434,0.7912,0.1128,0.4955,0.3295,0.154,0.0,0.0,0.0,0.0,0.0,0.0
15686-71-2,pa_h3n2,1,0,0.1667,0.0026,0.2999,0.2324,0.628,0.2246,0.0,0.0,0.0,0.0,0.0,0.0
159811-51-5,pa_h3n2,1,0,0.959,0.4293,0.8863,0.9968,0.5391,0.4916,0.0,0.0,0.0,0.0,0.0,0.0
160970-54-7,pa_h3n2,1,0,0.9045,0.9711,0.1588,0.5619,0.4551,0.3692,0.0,0.0,0.0,0.0,0.0,0.0
161735-79-1,pa_h3n2,1,0,0.4147,0.4843,0.2536,0.4062,0.0686,0.0343,0.0,0.0,0.0,0.0,0.0,0.0
161814-49-9,pa_h3n2,1,0,0.0705,0.6797,0.1293,0.5169,0.7729,0.1053,0.0,0.0,0.0,0.0,0.0,0.0
162011-90-7,pa_h3n2,1,0,0.9393,0.4746,0.8904,0.8819,0.466,0.4746,0.0,0.0,0.0,0.0,0.0,0.0
162401-32-3,pa_h3n2,1,0,0.9726,0.9779,0.992,0.9853,0.3662,0.1611,0.0,0.0,0.0,0.0,0.0,0.0
163222-33-1,pa_h3n2,1,0,0.9899,0.898,0.7926,0.7536,0.6897,0.3181,0.0,0.0,0.0,0.0,0.0,0.0
164656-23-9,pa_h3n2,1,0,0.1705,0.5473,0.2687,0.2033,0.6778,0.1786,0.0,0.0,0.0,0.0,0.0,0.0
165800-03-3,pa_h3n2,1,0,0.848,0.6475,0.7902,0.3132,0.1197,0.0636,0.0,0.0,0.0,0.0,0.0,0.0
16676-29-2,pa_h3n2,1,0,0.516,0.825,0.4001,0.5092,0.4022,0.3904,0.0,0.0,0.0,0.0,0.0,0.0
169590-42-5,pa_h3n2,1,0,0.1767,0.2997,0.1686,0.3399,0.9443,0.9977,0.0,0.0,0.0,0.0,0.0,0.0
170729-80-3,pa_h3n2,1,0,0.9732,0.7998,0.6788,0.6161,0.4316,0.1368,0.0,0.0,0.0,0.0,0.0,0.0
171599-83-0,pa_h3n2,1,0,0.2768,0.9417,0.999,0.8351,0.3801,0.5791,0.0,0.0,0.0,0.0,0.0,0.0
17321-77-6,pa_h3n2,1,0,0.6597,0.8408,0.8969,0.8398,0.4001,0.7801,0.0,0.0,0.0,0.0,0.0,0.0
1744-22-5,pa_h3n2,1,0,0.7814,0.649,0.399,0.4416,0.3512,0.491,0.0,0.0,0.0,0.0,0.0,0.0
175865-59-5,pa_h3n2,1,0,0.7672,0.7608,0.3701,0.3572,0.3088,0.6896,0.0,0.0,0.0,0.0,0.0,0.0
179324-69-7,pa_h3n2,1,0,0.9827,0.7222,0.7653,0.9621,0.7629,0.6743,0.0,0.0,0.0,0.0,0.0,0.0
179463-17-3,pa_h3n2,1,0,0.9697,0.892,0.0908,0.6268,0.519,0.1736,0.0,0.0,0.0,0.0,0.0,0.0
18010-40-7,pa_h3n2,1,0,0.2267,0.2126,0.0974,0.4751,0.322,0.3386,0.0,0.0,0.0,0.0,0.0,0.0
183133-96-2,pa_h3n2,1,0,0.5231,0.6108,0.5829,0.1955,0.0752,0.1889,0.0,0.0,0.0,0.0,0.0,0.0
186826-86-8,pa_h3n2,1,0,0.6815,0.2186,0.0736,0.5186,0.7282,0.3066,0.0,0.0,0.0,0.0,0.0,0.0
188062-50-2,pa_h3n2,1,0,0.2598,0.0803,0.9331,0.9449,0.6376,0.3753,0.0,0.0,0.0,0.0,0.0,0.0
190786-44-8,pa_h3n2,1,0,0.1964,0.2544,0.8748,0.9307,0.9062,0.8076,0.0,0.0,0.0,0.0,0.0,0.0
19171-19-8,pa_h3n2,1,0,0.0014,0.1638,0.0136,0.0079,0.8293,0.3857,0.0,0.0,0.0,0.0,0.0,0.0
192725-17-0,pa_h3n2,1,0,0.3025,0.2126,0.9398,0.9708,0.9392,0.9619,0.0,0.0,0.0,0.0,0.0,0.0
19356-17-3,pa_h3n2,1,0,0.5696,0.0513,0.607,0.4101,0.5743,0.8157,0.0,0.0,0.0,0.0,0.0,0.0
19387-91-8,pa_h3n2,1,0,0.6896,0.6094,0.7722,0.9704,0.6411,0.8234,0.0,0.0,0.0,0.0,0.0,0.0
1953-02-2,pa_h3n2,1,0,0.9853,0.9414,0.6554,0.9299,0.3337,0.6995,0.0,0.0,0.0,0.0,0.0,0.0
196597-26-9,pa_h3n2,1,0,0.6082,0.8695,0.6605,0.416,0.5127,0.7015,0.0,0.0,0.0,0.0,0.0,0.0
19767-45-4,pa_h3n2,1,0,0.9325,0.9886,0.9052,0.9205,0.9964,0.8404,0.0,0.0,0.0,0.0,0.0,0.0
19774-82-4,pa_h3n2,1,0,0.9758,0.8215,0.8512,0.9801,0.7757,0.7198,0.0,0.0,0.0,0.0,0.0,0.0
