compound_id,target_id,branch_sequence_pr,branch_pose_pr,branch_structure_pr,consensus_123_pr,disagreement_sd_pr,disagreement_range_pr,disagreement_branch_sd_pr,structure_minus_pose_pr,sequence_minus_structure_pr
162401-32-3,pa_ph1n1,0.1192,0.55165,0.9440500000000001,0.6757750000000001,0.38549163933865027,0.8696,0.4125870180943652,0.3924000000000001,-0.8248500000000001
163222-33-1,pa_ph1n1,0.3473,0.49329999999999996,0.1109,0.27776666666666666,0.2322804052576684,0.6706,0.1929726750950334,-0.38239999999999996,0.2364
164656-23-9,pa_ph1n1,0.63135,0.53945,0.21165,0.3908666666666667,0.2760182995141203,0.6406999999999999,0.2206228078266917,-0.3278,0.41969999999999996
165800-03-3,pa_ph1n1,0.15025,0.3206,0.44,0.3519083333333333,0.2737543308637631,0.6496,0.14561967872967355,0.1194,-0.28975
169590-42-5,pa_ph1n1,0.96885,0.2439,0.5965,0.541025,0.3318844583084099,0.8317000000000001,0.36251983508952074,0.3526,0.37234999999999996
170729-80-3,pa_ph1n1,0.24155,0.94,0.31584999999999996,0.5115166666666665,0.3628711433369519,0.8436,0.38360485637349967,-0.62415,-0.07429999999999998
171599-83-0,pa_ph1n1,0.24134999999999998,0.12739999999999999,0.56875,0.3670666666666666,0.3278560537797038,0.8771,0.22911612230482603,0.44135,-0.3274
17321-77-6,pa_ph1n1,0.25415,0.57265,0.95625,0.7113666666666667,0.3231170855897286,0.8184,0.3515526560844051,0.38360000000000005,-0.7021000000000001
1744-22-5,pa_ph1n1,0.254,0.484,0.42974999999999997,0.41854166666666665,0.1373709248713133,0.37449999999999994,0.12022972802098489,-0.05425000000000002,-0.17574999999999996
175865-59-5,pa_ph1n1,0.6447,0.7797000000000001,0.9243,0.8295,0.1537367750409771,0.42969999999999997,0.1398274651132602,0.14459999999999995,-0.27959999999999996
179324-69-7,pa_ph1n1,0.37934999999999997,0.28525,0.83875,0.5776833333333333,0.2751981934291478,0.6985,0.29616026629737713,0.5535,-0.45940000000000003
179463-17-3,pa_ph1n1,0.57055,0.7979499999999999,0.7562,0.739175,0.2664045395008626,0.7281,0.12105077791296233,-0.041749999999999954,-0.18564999999999998
18010-40-7,pa_ph1n1,0.7172499999999999,0.46115,0.024399999999999998,0.2854583333333333,0.31719740015748343,0.779,0.3503281544970848,-0.43675,0.69285
183133-96-2,pa_ph1n1,0.08825,0.5682,0.18575,0.2969833333333333,0.248244320512407,0.6697,0.25368164268100546,-0.38245000000000007,-0.0975
186826-86-8,pa_ph1n1,0.5324,0.5761,0.2458,0.4036666666666667,0.2422279972807988,0.6542000000000001,0.17941912755705097,-0.3302999999999999,0.28659999999999997
188062-50-2,pa_ph1n1,0.5234,0.851,0.91925,0.8305250000000001,0.20665428860780996,0.5095000000000001,0.21161169036704944,0.06825000000000003,-0.39585000000000004
190786-44-8,pa_ph1n1,0.56565,0.55455,0.87335,0.7158000000000001,0.2481913247208022,0.6828,0.18094010979695277,0.3188,-0.3077
19171-19-8,pa_ph1n1,0.62805,0.2763,0.01625,0.2049,0.3437029977562993,0.8191,0.3070432393545465,-0.26005,0.6118
19356-17-3,pa_ph1n1,0.73,0.68655,0.94525,0.8231416666666668,0.1778395194175543,0.4697,0.13853167808603684,0.25870000000000004,-0.21525000000000005
19387-91-8,pa_ph1n1,0.58065,0.5727,0.6769000000000001,0.6261249999999999,0.07858301131075765,0.20529999999999993,0.05800130027278128,0.10420000000000007,-0.09625000000000006
1953-02-2,pa_ph1n1,0.58565,0.13835,0.06545000000000001,0.17645,0.2746859206439238,0.6877,0.2816616587326007,-0.07289999999999999,0.5202
196597-26-9,pa_ph1n1,0.21760000000000002,0.86345,0.8288,0.7384833333333334,0.3342547317042298,0.7809999999999999,0.363292417803253,-0.03465000000000007,-0.6112
19767-45-4,pa_ph1n1,0.8600000000000001,0.6784,0.98985,0.8643916666666667,0.18644812415253742,0.5045000000000001,0.15643991658141473,0.31145,-0.1298499999999999
19774-82-4,pa_ph1n1,0.21465,0.3952,0.36360000000000003,0.34930833333333333,0.17481847061070713,0.44900000000000007,0.09642178609283969,-0.03159999999999996,-0.14895000000000003
198480-56-7,pa_ph1n1,0.2024,0.3272,0.5235,0.40454999999999997,0.2408854637927882,0.6067,0.16187131720392384,0.19629999999999997,-0.32109999999999994
201530-41-8,pa_ph1n1,0.51415,0.8503499999999999,0.85475,0.7965166666666667,0.21798949286605537,0.6135,0.19538771711650657,0.0044000000000000705,-0.3406
202138-50-9,pa_ph1n1,0.10769999999999999,0.9265000000000001,0.52175,0.5876583333333333,0.40218360856703256,0.9710000000000001,0.40940880242124744,-0.40475000000000005,-0.41405000000000003
2030-63-9,pa_ph1n1,0.4632,0.4326,0.11460000000000001,0.2787,0.36680097600742567,0.8146000000000001,0.19303813094826627,-0.31799999999999995,0.3486
204255-11-8,pa_ph1n1,0.5728,0.5171,0.51125,0.5234583333333334,0.15044323071067928,0.3827,0.03397331060307977,-0.005850000000000022,0.061549999999999994
2062-78-4,pa_ph1n1,0.5639500000000001,0.013600000000000001,0.8155,0.506275,0.3858305884711579,0.8915000000000001,0.41012317966679235,0.8019000000000001,-0.25154999999999994
2068-78-2,pa_ph1n1,0.3488,0.49855000000000005,0.23220000000000002,0.34041666666666676,0.17493879786942632,0.39080000000000004,0.13351837888470636,-0.26635000000000003,0.11659999999999998
211915-06-9,pa_ph1n1,0.07335,0.14815,0.7729999999999999,0.44810833333333333,0.35776443087596066,0.846,0.3841750219626466,0.6248499999999999,-0.6996499999999999
21256-18-8,pa_ph1n1,0.422,0.1943,0.35225,0.311225,0.17059397117131658,0.40679999999999994,0.11666230110879863,0.15795,0.06974999999999998
2135-17-3,pa_ph1n1,0.5124,0.8415,0.4394,0.5856,0.28383416754623936,0.7766,0.21421181884605092,-0.4021,0.07299999999999995
21679-14-1,pa_ph1n1,0.38449999999999995,0.5880000000000001,0.66015,0.5901583333333335,0.24275644927924503,0.6428,0.14294567441281092,0.07214999999999994,-0.27565000000000006
21736-83-4,pa_ph1n1,0.1454,0.18409999999999999,0.1591,0.16515,0.12256638473360738,0.2591,0.019623030686755118,-0.024999999999999994,-0.01369999999999999
2192-20-3,pa_ph1n1,0.5116,0.6647000000000001,0.9471499999999999,0.7804083333333333,0.21620876408385176,0.5740000000000001,0.22095301725329144,0.28244999999999987,-0.4355499999999999
220127-57-1,pa_ph1n1,0.1387,0.34825,0.47,0.3741999999999999,0.2049542916522283,0.6151,0.16757782023088058,0.12174999999999997,-0.3313
220620-09-7,pa_ph1n1,0.20675000000000002,0.96895,0.78005,0.7474666666666668,0.37602833625495125,0.9699,0.39692672287631797,-0.18889999999999996,-0.5733
22260-51-1,pa_ph1n1,0.089,0.95455,0.9829,0.8244666666666668,0.4547295302338156,0.9216,0.5081072286765199,0.028349999999999986,-0.8939
223673-61-8,pa_ph1n1,0.5850500000000001,0.9935,0.93865,0.898,0.2163408298649764,0.5396,0.2216878003710022,-0.054850000000000065,-0.3535999999999999
224785-90-4,pa_ph1n1,0.4589,0.39094999999999996,0.8318000000000001,0.6227,0.23575015376453098,0.5923,0.23735358118216804,0.44085000000000013,-0.3729000000000001
22916-47-8,pa_ph1n1,0.7423500000000001,0.2946,0.24895,0.34640000000000004,0.27334127874630765,0.7022,0.27264370675541616,-0.04564999999999997,0.49340000000000006
231277-92-2,pa_ph1n1,0.16094999999999998,0.5214000000000001,0.7489,0.5750750000000001,0.30144274691335116,0.8366,0.2964696878828143,0.22749999999999992,-0.58795
242478-38-2,pa_ph1n1,0.67395,0.57515,0.45230000000000004,0.5301916666666667,0.2231093244727048,0.6161,0.11104224796595814,-0.12285000000000001,0.22165
