compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
107007-99-8,furin,Cn1nc(C(=O)N[C@H]2C[C@H]3CCC[C@@H](C2)[N@@H+]3C)c2ccccc21,0.9291,0.5963,0.5085,0.7278,0.8365,0.9655,313.20228784009,0.9013000000000008,51.36,2,3,2,4,2,23,0.5555555555555556,0.8654813653793025
64872-77-1,furin,Clc1ccc(CC[C@H](Cn2cc[nH+]c2)Sc2c(Cl)cccc2Cl)cc1,0.8933,0.966,0.999,0.9829,0.596,0.4192,411.02507903609,6.056100000000003,19.07,0,2,7,3,3,25,0.2105263157894736,0.4317741523432858
5786-21-0,furin,C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.8151,0.562,0.5091,0.572,0.9524,0.1704,327.13710074009,2.305600000000001,32.07,2,3,0,4,2,23,0.2777777777777778,0.7779767589631497
101827-46-7,furin,C[N@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0.1096,0.0734,0.4407,0.1847,0.5113,0.5338,318.22162631609,4.352200000000004,4.44,1,0,4,3,3,24,0.3043478260869565,0.7291742768719393
99614-01-4,furin,Cc1[nH+]ccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,0.9914,0.8701,0.7762,0.8351,0.0678,0.6358,294.1600886800899,2.547620000000001,41.07,0,3,2,4,3,22,0.3333333333333333,0.7158516081327108
113-59-7,furin,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,0.8527,0.6802,0.1084,0.0802,0.4012,0.0334,316.09212470809,3.770900000000002,4.44,1,1,3,3,2,21,0.2222222222222222,0.7704134470229285
56296-78-7,furin,C[NH2+]CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.0707,0.5449,0.2158,0.469,0.8255,0.8721,310.14132530809,3.408800000000003,25.84,1,1,6,2,2,22,0.2941176470588235,0.8691389286871458
50357-45-4,furin,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1,0.7468,0.9224,0.9414,0.8524,0.8968,0.5685,342.20447891218,-0.7564999999999973,121.68,4,2,10,2,2,25,0.2631578947368421,0.257571879518029
122883-93-6,furin,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.4761,0.2868,0.5028,0.8996,0.1551,0.3896,413.1197364240901,2.3918999999999997,49.67,2,4,4,5,3,28,0.3333333333333333,0.6901284265045128
668270-12-0,furin,CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.879,0.9173,0.7454,0.7654,0.8932,0.3619,473.24079858809006,0.4306200000000022,118.48000000000002,1,9,4,5,4,35,0.4,0.4296284276607755
