id,smiles,source
Z1541632803,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,Enamine
Z2044749015,C[NH+]1CCN(c2ccc(B(O)O)cn2)CC1,Enamine
Z8525317412,O=C(NCCc1cccc(S(=O)(=O)NCCOCCOCCO)c1)c1cncc(F)c1[O-],Enamine
Z6284825236,O=C(CNc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)NCCCn1nc([O-])c2ccccc21,Enamine
Z2437244435,CSCC[C@H](N)C(=O)NCc1cccc(C[N@H+]2CCC[C@H](C(N)=O)C2)c1,Enamine
Z9405219399,Nc1nc(OCC(F)(F)F)c(-c2cccc3c2OCC(=O)N3)c[nH+]1,Enamine
Z4057739544,Cc1ccc2nc([C@H]3CCCN(C(=O)[C@@H]4CCCc5sc(N)[nH+]c54)C3)[nH]c2c1,Enamine
Z5027903423,COC(=O)[C@H]1CC[C@H](F)C[N@H+]1Cc1cc([O-])n2nc(N)nc2n1,Enamine
Z2765105855,C[NH+](C)CCOc1ccc(CNC(=O)[C@H]2CC[C@@H](C(=O)[O-])N2)cc1,Enamine
Z8797895071,C[C@@H](Cc1c[nH]c2ccc(F)cc12)NC(=O)c1ccc(C(=O)[O-])c(CO)c1,Enamine
Z196169150,NS(=O)(=O)Cc1ccc(CNc2c[nH+]nc([O-])c2Cl)cc1,Enamine
Z7239043951,O=Cc1cc(OCC[C@H]2C[NH2+]CCO2)ccc1B(O)O,Enamine
Z9159454197,NC(=O)[C@H]1c2cn[nH]c2CN1c1cc[nH+]c2ccc(C(=O)[O-])cc12,Enamine
Z4898055920,Cc1ccccc1Nc1nc(N)nc(COC(=O)c2cc(NC(=O)NC(C)C)ccc2[O-])n1,Enamine
Z3283224181,CC(C)c1n[nH]c(NCc2ccc(OCC[NH+]3CCCC3)cc2)n1,Enamine
Z1258889828,CC[N@@H+](CCNC(=O)c1cc(NC(=O)NC(C)C)ccc1[O-])C1CC1,Enamine
Z9062060075,O=C(C[C@H]1C[C@@H](O)C12CCC2)N[C@H]1C[C@@H](CO)N(C(=O)c2cc([O-])nc(C3CC3)n2)C1,Enamine
Z1258885694,CC(C)NC(=O)Nc1ccc([O-])c(C(=O)NCCCOC(C)C)c1,Enamine
Z9023714938,COc1cc(B(O)O)ccc1C[N@H+]1CCC=C(Br)C1,Enamine
Z2093406046,Nc1ccc2c(N[C@H]3CCC(=O)N[C@H]3C3CC3)ncnc2[nH+]1,Enamine
Z2353295024,COCCOc1ccc(CNC(=O)NCCCC(=O)[O-])cc1,Enamine
Z2654670419,COC(=O)[C@@H]1C[C@H](C)CC[N@H+]1Cc1cc([O-])n2nc(N)nc2n1,Enamine
Z8801684602,NC(=O)c1ccccc1OCCC(=O)N1CCc2n[nH]c(C(=O)N3C[C@@H](C(N)=O)CC(F)(F)C3)c2C1,Enamine
Z1183773380,NC(=O)N1CCC[C@@H](C(=O)Nc2cccc(Oc3cc[nH+]cc3)c2)C1,Enamine
Z9061748356,C[N@@H+](CCC(=O)[O-])Cc1nc(N)[nH+]c(=O)[nH]1,Enamine
Z6326504294,C[NH+](C)C[C@H]1C[C@H]1C(=O)N1CCO[C@H]2CCN(C(=O)CCNC(N)=O)C[C@H]21,Enamine
Z3686655407,CO[C@H]1CN(c2cc[nH+]c(NCCCc3nc(C)n[nH]3)n2)C[C@H]1[NH+](C)C,Enamine
Z9002431358,CC1(C)Cc2nnc(-c3cn[nH]c3N)n2CC[NH2+]1,Enamine
Z107669978,C[NH+](C)[C@H](CNC(=O)c1cc(=O)[nH]c2ccc(S(=O)(=O)[N-]c3ccc(F)cc3)cc12)c1ccco1,Enamine
Z5355878949,C#CCCC1(CCNC(=O)CCc2c[nH]c(C(=O)[O-])c2)N=N1,Enamine
Z9110466273,CNC(=O)NC[C@H]1CN(C(=O)C(=O)N2CCC3(CC2)C[C@@H]3C(=O)[O-])CCO1,Enamine
Z57032599,NC(=O)NCCCC[C@H](NC(N)=O)C(=O)[O-],Enamine
Z1334301749,C[C@H](O)C[N@H+]1CC[C@@H](CN(C)C(=O)c2cc(=O)[nH]c3cc(F)ccc23)CC1,Enamine
Z2379807334,CCOC[C@@H](NC(=O)NCCOCCS(N)(=O)=O)C(C)C,Enamine
Z899708500,CC[NH+](CC)[C@@H](CNC(=O)c1cccc(NC(N)=O)c1)c1ccco1,Enamine
Z1142699175,OB(O)c1ccc(OCCC[NH+]2CCCCC2)cc1,Enamine
Z9783880346,O=C([O-])[C@H]1C[C@](O)(C[NH2+][C@H]2CCOC23CC[NH2+]CC3)C1,Enamine
Z1745905824,C[C@@H]1CC[C@@](CO)([N@@H+](C)CCS(=O)(=O)CC[N@H+](C)[C@]2(CO)CC[C@H](C)C2)C1,Enamine
Z4669071211,O=C([C@@H](O)[C@H](O)c1nc2ccccc2[nH]1)N1CC[C@@](O)(c2cc[nH]n2)C1,Enamine
Z137867856,CC[N@H+](Cc1cc(=O)c([O-])co1)C[C@H](O)c1cccc(O)c1,Enamine
Z5370757409,Nc1nc(OCC(F)(F)F)c(-c2cccc(N3CCNC3=O)c2)c[nH+]1,Enamine
Z381513296,OB(O)c1cccc(OCC[NH+]2CCCCC2)c1,Enamine
Z3686394205,CNC(=O)C[C@@H]1CN(c2cc[nH+]c(O[C@H]3CC[C@H](C)CC3)n2)C[C@H]1O,Enamine
Z2711553878,Cn1c(=O)oc2ccc(CNC(=O)N[C@H]3CC[C@H](C(=O)[O-])CC3)cc21,Enamine
Z24781765,C/C(N)=C(/C#N)C(=O)COC(=O)C[C@H](NC(N)=O)c1ccc(Cl)cc1,Enamine
Z2002403711,C[N@@H+](CC(N)=O)C[C@@H]1CN(C[C@@H](O)C(F)(F)F)CCO1,Enamine
Z1755462164,Cc1noc([C@H]2C[C@H](O)C[N@H+]2CC(=O)N2CC(=O)Nc3ccccc32)n1,Enamine
Z1102717354,NC(=O)N[C@H](Cc1ccccc1)C(=O)Nc1cnn(CC[NH+]2CCOCC2)c1,Enamine
Z573698960,COc1cccc(CNC(=O)NNc2nc(C)cc([O-])n2)c1,Enamine
Z8610391061,C[C@H](Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)c1cccnc1,Enamine
Z1416201984,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,Enamine
Z9310317276,Nc1nc(NCC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Enamine
Z5077364224,Nc1nc(OCC(F)(F)F)c(-c2ccc3c(c2)CNC3=O)c[nH+]1,Enamine
Z9665911389,COc1cc(N)[nH+]cc1-c1cccc(C(=O)[O-])c1,Enamine
Z2482970571,CC1(C)C(=O)NCC[N@@H+]1C[C@@H](O)COc1ccc(C(=O)[O-])cc1,Enamine
Z1425821840,CNC(=O)Nc1cccc(NC(=O)C[N@H+]2CC[C@H](C)CC2)c1,Enamine
Z56761501,Nc1n[nH]c(Cc2n[nH]c(N)n2)n1,Enamine
Z2277203752,C[C@@H]([N@H+](C)CC1(C[N@H+](C)[C@H](C)C(C)(C)O)COC1)C(C)(C)O,Enamine
Z3041518981,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H](O)[C@@H](O)[C@@H]1O,Enamine
